q1_d	q2_d	q3_d	q4_d	q1_a	q2_a	q3_a	q4_a	u1	u2	u2	u4
1.3111	0.7063	-0.7763	1.3379	1.3120	0.6981	-0.7607	1.3348	-1660.2900	114874.7031	9479.9756	345.5946
1.3115	0.7063	-0.7758	1.3383	1.3124	0.6981	-0.7606	1.3352	-1430.5583	115230.3281	9223.8643	749.1984
1.3118	0.7064	-0.7753	1.3387	1.3128	0.6981	-0.7605	1.3356	-1416.5111	115762.9844	9369.4854	641.5889
1.3122	0.7064	-0.7748	1.3391	1.3131	0.6981	-0.7605	1.3360	-1610.6656	116179.6094	9210.7432	1101.9252
1.3125	0.7064	-0.7744	1.3394	1.3134	0.6981	-0.7605	1.3364	-1540.3783	116693.7109	9412.4971	628.9429
1.3129	0.7064	-0.7740	1.3398	1.3137	0.6981	-0.7607	1.3367	-1325.3097	117159.2734	9112.1855	1219.2289
1.3132	0.7065	-0.7736	1.3401	1.3140	0.6981	-0.7608	1.3371	-1401.9375	117520.2656	9179.7402	1193.7623
1.3135	0.7065	-0.7732	1.3404	1.3143	0.6981	-0.7611	1.3374	-1656.0797	118196.3047	9291.6406	1018.0762
1.3138	0.7065	-0.7728	1.3407	1.3146	0.6981	-0.7613	1.3378	-1864.9219	118781.2344	9190.7764	834.9410
1.3141	0.7065	-0.7724	1.3410	1.3149	0.6981	-0.7616	1.3381	-1543.7064	118962.3906	9208.6885	1095.2229
1.3144	0.7065	-0.7721	1.3413	1.3152	0.6981	-0.7619	1.3384	-1497.9150	119501.5469	8984.4775	1510.6492
1.3146	0.7065	-0.7717	1.3416	1.3154	0.6981	-0.7623	1.3387	-1424.9843	119931.6094	9399.1162	805.6411
1.3149	0.7066	-0.7714	1.3419	1.3157	0.6981	-0.7626	1.3390	-1473.7336	120422.0938	9274.7305	974.9683
1.3151	0.7066	-0.7710	1.3421	1.3159	0.6981	-0.7630	1.3393	-1693.6315	121167.3672	8934.7471	1463.9489
1.3154	0.7066	-0.7707	1.3424	1.3161	0.6981	-0.7634	1.3396	-1471.2070	121328.9609	9473.0537	595.4838
1.3156	0.7066	-0.7704	1.3426	1.3164	0.6981	-0.7637	1.3399	-1376.6235	121273.1953	9317.0479	1042.7391
1.3159	0.7066	-0.7701	1.3429	1.3166	0.6981	-0.7641	1.3402	-1446.2291	122506.3438	8891.5479	1484.3004
1.2999	0.6958	-0.7916	1.3216	1.3057	0.6917	-0.7810	1.3242	-104219.8125	124932.2500	-21068.5352	-7068.4194
